Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAQ9479239.1?report=genbank&log$=prottop&blast_rank=1193&RID=1W6HPFAE013"",""EAQ9479239.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ENB1889729.1?report=genbank&log$=prottop&blast_rank=1194&RID=1W6HPFAE013"",""ENB1889729.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EEF8296289.1?report=genbank&log$=prottop&blast_rank=1195&RID=1W6HPFAE013"",""EEF8296289.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ECO8290599.1?report=genbank&log$=prottop&blast_rank=1196&RID=1W6HPFAE013"",""ECO8290599.1"")"
transcription/translation regulatory transformer protein RfaH [Pseudocitrobacter corydidari],Pseudocitrobacter corydidari,83.2,83.2,96%,4e-18,80.43,165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015966404.1?report=genbank&log$=prottop&blast_rank=1197&RID=1W6HPFAE013"",""WP_015966404.1"")"
transcriptional activator rfaH [Enterobacter sp. MGH 14],Enterobacter sp. MGH 14,83.6,83.6,98%,4e-18,80.85,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ERP05560.1?report=genbank&log$=prottop&blast_rank=1198&RID=1W6HPFAE013"",""ERP05560.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EHY7390212.1?report=genbank&log$=prottop&blast_rank=1199&RID=1W6HPFAE013"",""EHY7390212.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_097359669.1?report=genbank&log$=prottop&blast_rank=1200&RID=1W6HPFAE013"",""WP_097359669.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Typhimurium],Salmonella enterica subsp. enterica serovar Typhimurium,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDN8004101.1?report=genbank&log$=prottop&blast_rank=1201&RID=1W6HPFAE013"",""HDN8004101.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDP0409134.1?report=genbank&log$=prottop&blast_rank=1202&RID=1W6HPFAE013"",""EDP0409134.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_079787710.1?report=genbank&log$=prottop&blast_rank=1203&RID=1W6HPFAE013"",""WP_079787710.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Java],Salmonella enterica subsp. enterica serovar Java,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ECF0262692.1?report=genbank&log$=prottop&blast_rank=1204&RID=1W6HPFAE013"",""ECF0262692.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ELX6733131.1?report=genbank&log$=prottop&blast_rank=1205&RID=1W6HPFAE013"",""ELX6733131.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Newport],Salmonella enterica subsp. enterica serovar Newport,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDY8332442.1?report=genbank&log$=prottop&blast_rank=1206&RID=1W6HPFAE013"",""EDY8332442.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EJU1520224.1?report=genbank&log$=prottop&blast_rank=1207&RID=1W6HPFAE013"",""EJU1520224.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EJV4617711.1?report=genbank&log$=prottop&blast_rank=1208&RID=1W6HPFAE013"",""EJV4617711.1"")"
"transcription/translation regulatory transformer protein RfaH, partial [Escherichia coli]",Escherichia coli,82.8,82.8,85%,4e-18,97.56,155,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_220731595.1?report=genbank&log$=prottop&blast_rank=1209&RID=1W6HPFAE013"",""WP_220731595.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Enugu],Salmonella enterica subsp. enterica serovar Enugu,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EBX6304243.1?report=genbank&log$=prottop&blast_rank=1210&RID=1W6HPFAE013"",""EBX6304243.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Brandenburg],Salmonella enterica subsp. enterica serovar Brandenburg,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ENH6311631.1?report=genbank&log$=prottop&blast_rank=1211&RID=1W6HPFAE013"",""ENH6311631.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_079951950.1?report=genbank&log$=prottop&blast_rank=1212&RID=1W6HPFAE013"",""WP_079951950.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Enteritidis],Salmonella enterica subsp. enterica serovar Enteritidis,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EIU9893394.1?report=genbank&log$=prottop&blast_rank=1213&RID=1W6HPFAE013"",""EIU9893394.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Kentucky],Salmonella enterica subsp. enterica serovar Kentucky,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDE3375923.1?report=genbank&log$=prottop&blast_rank=1214&RID=1W6HPFAE013"",""EDE3375923.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EIP5617279.1?report=genbank&log$=prottop&blast_rank=1215&RID=1W6HPFAE013"",""EIP5617279.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAQ6130573.1?report=genbank&log$=prottop&blast_rank=1216&RID=1W6HPFAE013"",""EAQ6130573.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOG2147390.1?report=genbank&log$=prottop&blast_rank=1217&RID=1W6HPFAE013"",""EOG2147390.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EHR9488669.1?report=genbank&log$=prottop&blast_rank=1218&RID=1W6HPFAE013"",""EHR9488669.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Enteritidis],Salmonella enterica subsp. enterica serovar Enteritidis,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EBS0661716.1?report=genbank&log$=prottop&blast_rank=1219&RID=1W6HPFAE013"",""EBS0661716.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAT3592429.1?report=genbank&log$=prottop&blast_rank=1220&RID=1W6HPFAE013"",""EAT3592429.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Typhimurium],Salmonella enterica subsp. enterica serovar Typhimurium,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDK9740372.1?report=genbank&log$=prottop&blast_rank=1221&RID=1W6HPFAE013"",""EDK9740372.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MQL30053.1?report=genbank&log$=prottop&blast_rank=1222&RID=1W6HPFAE013"",""MQL30053.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAM3853226.1?report=genbank&log$=prottop&blast_rank=1223&RID=1W6HPFAE013"",""EAM3853226.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Newport],Salmonella enterica subsp. enterica serovar Newport,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAB5927849.1?report=genbank&log$=prottop&blast_rank=1224&RID=1W6HPFAE013"",""EAB5927849.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAS0479461.1?report=genbank&log$=prottop&blast_rank=1225&RID=1W6HPFAE013"",""EAS0479461.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. salamae],Salmonella enterica subsp. salamae,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAB9751430.1?report=genbank&log$=prottop&blast_rank=1226&RID=1W6HPFAE013"",""EAB9751430.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Enteritidis],Salmonella enterica subsp. enterica serovar Enteritidis,83.2,83.2,98%,4e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ECM4954250.1?report=genbank&log$=prottop&blast_rank=1227&RID=1W6HPFAE013"",""ECM4954250.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter hormaechei],Enterobacter hormaechei,83.2,83.2,98%,4e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCM7072737.1?report=genbank&log$=prottop&blast_rank=1228&RID=1W6HPFAE013"",""MCM7072737.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter roggenkampii],Enterobacter roggenkampii,83.2,83.2,98%,4e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_232926325.1?report=genbank&log$=prottop&blast_rank=1229&RID=1W6HPFAE013"",""WP_232926325.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter hormaechei],Enterobacter hormaechei,83.2,83.2,98%,4e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144315028.1?report=genbank&log$=prottop&blast_rank=1230&RID=1W6HPFAE013"",""WP_144315028.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter hormaechei],Enterobacter hormaechei,83.2,83.2,98%,4e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGT4053760.1?report=genbank&log$=prottop&blast_rank=1231&RID=1W6HPFAE013"",""HGT4053760.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,4e-18,82.98,161,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEX8984702.1?report=genbank&log$=prottop&blast_rank=1232&RID=1W6HPFAE013"",""MEX8984702.1"")"
transcription/translation regulatory transformer protein RfaH [Scandinavium sp.],Scandinavium sp.,83.2,83.2,98%,4e-18,80.85,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_329700900.1?report=genbank&log$=prottop&blast_rank=1233&RID=1W6HPFAE013"",""WP_329700900.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Salmonella],Salmonella,83.2,83.2,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_001192410.1?report=genbank&log$=prottop&blast_rank=1234&RID=1W6HPFAE013"",""WP_001192410.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Enterobacter],Enterobacter,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_003860779.1?report=genbank&log$=prottop&blast_rank=1235&RID=1W6HPFAE013"",""WP_003860779.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HAF1542203.1?report=genbank&log$=prottop&blast_rank=1236&RID=1W6HPFAE013"",""HAF1542203.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAM1734808.1?report=genbank&log$=prottop&blast_rank=1237&RID=1W6HPFAE013"",""EAM1734808.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_409136459.1?report=genbank&log$=prottop&blast_rank=1238&RID=1W6HPFAE013"",""WP_409136459.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Kentucky],Salmonella enterica subsp. enterica serovar Kentucky,83.2,83.2,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ENR3393509.1?report=genbank&log$=prottop&blast_rank=1239&RID=1W6HPFAE013"",""ENR3393509.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_079973745.1?report=genbank&log$=prottop&blast_rank=1240&RID=1W6HPFAE013"",""WP_079973745.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Lome],Salmonella enterica subsp. enterica serovar Lome,83.2,83.2,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAB7635295.1?report=genbank&log$=prottop&blast_rank=1241&RID=1W6HPFAE013"",""EAB7635295.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_079950872.1?report=genbank&log$=prottop&blast_rank=1242&RID=1W6HPFAE013"",""WP_079950872.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EEP7733452.1?report=genbank&log$=prottop&blast_rank=1243&RID=1W6HPFAE013"",""EEP7733452.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Brunei],Salmonella enterica subsp. enterica serovar Brunei,83.2,83.2,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAB5377123.1?report=genbank&log$=prottop&blast_rank=1244&RID=1W6HPFAE013"",""EAB5377123.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,83.2,83.2,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EJL9553959.1?report=genbank&log$=prottop&blast_rank=1245&RID=1W6HPFAE013"",""EJL9553959.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacteriaceae bacterium RIT691],Enterobacteriaceae bacterium RIT691,83.2,83.2,98%,5e-18,80.85,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MRS17431.1?report=genbank&log$=prottop&blast_rank=1246&RID=1W6HPFAE013"",""MRS17431.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter mori],Enterobacter mori,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_416719786.1?report=genbank&log$=prottop&blast_rank=1247&RID=1W6HPFAE013"",""WP_416719786.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter sp.],Enterobacter sp.,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_343648569.1?report=genbank&log$=prottop&blast_rank=1248&RID=1W6HPFAE013"",""WP_343648569.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Pseudocitrobacter],Pseudocitrobacter,83.2,83.2,96%,5e-18,80.43,165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_149464903.1?report=genbank&log$=prottop&blast_rank=1249&RID=1W6HPFAE013"",""WP_149464903.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Enterobacteriaceae],Enterobacteriaceae,83.2,83.2,96%,5e-18,80.43,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_106929908.1?report=genbank&log$=prottop&blast_rank=1250&RID=1W6HPFAE013"",""WP_106929908.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter hormaechei],Enterobacter hormaechei,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ELC6330977.1?report=genbank&log$=prottop&blast_rank=1251&RID=1W6HPFAE013"",""ELC6330977.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Derby],Salmonella enterica subsp. enterica serovar Derby,82.8,82.8,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ECU2790576.1?report=genbank&log$=prottop&blast_rank=1252&RID=1W6HPFAE013"",""ECU2790576.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Kentucky],Salmonella enterica subsp. enterica serovar Kentucky,82.8,82.8,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EDC0288367.1?report=genbank&log$=prottop&blast_rank=1253&RID=1W6HPFAE013"",""EDC0288367.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,82.8,82.8,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAN6882334.1?report=genbank&log$=prottop&blast_rank=1254&RID=1W6HPFAE013"",""EAN6882334.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,82.8,82.8,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ECS9576369.1?report=genbank&log$=prottop&blast_rank=1255&RID=1W6HPFAE013"",""ECS9576369.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Enteritidis],Salmonella enterica subsp. enterica serovar Enteritidis,82.8,82.8,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EBZ7900218.1?report=genbank&log$=prottop&blast_rank=1256&RID=1W6HPFAE013"",""EBZ7900218.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,82.8,82.8,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EBT5445344.1?report=genbank&log$=prottop&blast_rank=1257&RID=1W6HPFAE013"",""EBT5445344.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter roggenkampii],Enterobacter roggenkampii,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ELW9536798.1?report=genbank&log$=prottop&blast_rank=1258&RID=1W6HPFAE013"",""ELW9536798.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter hormaechei],Enterobacter hormaechei,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_196083581.1?report=genbank&log$=prottop&blast_rank=1259&RID=1W6HPFAE013"",""WP_196083581.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter hormaechei],Enterobacter hormaechei,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063615372.1?report=genbank&log$=prottop&blast_rank=1260&RID=1W6HPFAE013"",""WP_063615372.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter quasiroggenkampii],Enterobacter quasiroggenkampii,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_334756093.1?report=genbank&log$=prottop&blast_rank=1261&RID=1W6HPFAE013"",""WP_334756093.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter asburiae],Enterobacter asburiae,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_234650804.1?report=genbank&log$=prottop&blast_rank=1262&RID=1W6HPFAE013"",""WP_234650804.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter asburiae],Enterobacter asburiae,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_198886951.1?report=genbank&log$=prottop&blast_rank=1263&RID=1W6HPFAE013"",""WP_198886951.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Enterobacter],Enterobacter,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_008501518.1?report=genbank&log$=prottop&blast_rank=1264&RID=1W6HPFAE013"",""WP_008501518.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Enterobacter],Enterobacter,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_194401832.1?report=genbank&log$=prottop&blast_rank=1265&RID=1W6HPFAE013"",""WP_194401832.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter hormaechei],Enterobacter hormaechei,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_319856489.1?report=genbank&log$=prottop&blast_rank=1266&RID=1W6HPFAE013"",""WP_319856489.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter hormaechei],Enterobacter hormaechei,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_252001132.1?report=genbank&log$=prottop&blast_rank=1267&RID=1W6HPFAE013"",""WP_252001132.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter hormaechei],Enterobacter hormaechei,83.2,83.2,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_181241415.1?report=genbank&log$=prottop&blast_rank=1268&RID=1W6HPFAE013"",""WP_181241415.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Enterobacter],Enterobacter,82.8,82.8,98%,5e-18,78.72,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_182062915.1?report=genbank&log$=prottop&blast_rank=1269&RID=1W6HPFAE013"",""WP_182062915.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Lelliottia],Lelliottia,82.8,82.8,98%,5e-18,78.72,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_102105636.1?report=genbank&log$=prottop&blast_rank=1270&RID=1W6HPFAE013"",""WP_102105636.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica],Salmonella enterica,82.8,82.8,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_227240877.1?report=genbank&log$=prottop&blast_rank=1271&RID=1W6HPFAE013"",""WP_227240877.1"")"
transcriptional activator rfaH [Enterobacter hormaechei],Enterobacter hormaechei,83.2,83.2,98%,5e-18,80.85,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CZY90817.1?report=genbank&log$=prottop&blast_rank=1272&RID=1W6HPFAE013"",""CZY90817.1"")"
transcriptional activator rfaH [Enterobacter sp. MGH 8],Enterobacter sp. MGH 8,83.2,83.2,98%,5e-18,80.85,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ERP01221.1?report=genbank&log$=prottop&blast_rank=1273&RID=1W6HPFAE013"",""ERP01221.1"")"
transcription/translation regulatory transformer protein RfaH [Salmonella enterica subsp. enterica serovar Muenchen],Salmonella enterica subsp. enterica serovar Muenchen,82.8,82.8,98%,5e-18,82.98,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ECW5284352.1?report=genbank&log$=prottop&blast_rank=1274&RID=1W6HPFAE013"",""ECW5284352.1"")"
transcription/translation regulatory transformer protein RfaH [Cronobacter sakazakii],Cronobacter sakazakii,82.8,82.8,98%,5e-18,80.85,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ELY3740344.1?report=genbank&log$=prottop&blast_rank=1275&RID=1W6HPFAE013"",""ELY3740344.1"")"
transcription/translation regulatory transformer protein RfaH [Cronobacter sakazakii],Cronobacter sakazakii,82.8,82.8,98%,5e-18,80.85,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_124760578.1?report=genbank&log$=prottop&blast_rank=1276&RID=1W6HPFAE013"",""WP_124760578.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Enterobacter],Enterobacter,82.8,82.8,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_023333788.1?report=genbank&log$=prottop&blast_rank=1277&RID=1W6HPFAE013"",""WP_023333788.1"")"
MULTISPECIES: transcription/translation regulatory transformer protein RfaH [Enterobacter],Enterobacter,82.8,82.8,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_032622063.1?report=genbank&log$=prottop&blast_rank=1278&RID=1W6HPFAE013"",""WP_032622063.1"")"
transcription/translation regulatory transformer protein RfaH [Enterobacter vonholyi],Enterobacter vonholyi,82.8,82.8,98%,5e-18,80.85,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_325849644.1?report=genbank&log$=prottop&blast_rank=1279&RID=1W6HPFAE013"",""WP_325849644.1"")"
